                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 1.1046,                0.86157,                 1.2668,                0.66451,                0.45259,                 0.5214,                0.22208,                 2.0847,                 1.9768,                 1.9132,             0.00079521,             0.00079521,             0.00079521
                    114,                 1.1492,                0.87131,                 1.2928,                0.40552,                0.48574,                0.38598,                0.16231,                 2.1614,                 2.3517,                 2.0544,             0.00078955,             0.00078955,             0.00078955
                    115,                 1.1604,                0.88493,                 1.3263,                0.49684,                0.47829,                0.46529,                0.18788,                 2.2012,                 1.9959,                 2.1259,             0.00078389,             0.00078389,             0.00078389
                    116,                 1.1635,                0.92986,                  1.306,                0.63437,                0.58724,                0.60563,                0.27165,                 1.9437,                 1.6432,                 1.8329,             0.00077823,             0.00077823,             0.00077823
                    117,                 1.1269,                0.89882,                 1.2906,                0.35701,                0.43618,                0.38346,                0.15541,                 2.1097,                 1.9761,                 1.9469,             0.00077257,             0.00077257,             0.00077257
                    118,                 1.1394,                0.88197,                 1.2869,                0.49225,                0.53923,                0.48845,                0.23356,                  1.943,                 1.6863,                 1.8032,             0.00076692,             0.00076692,             0.00076692
                    119,                 1.1019,                0.85696,                 1.2771,                0.59951,                 0.5038,                0.55774,                0.25318,                 1.9746,                 1.7678,                 1.8444,             0.00076126,             0.00076126,             0.00076126
                    120,                 1.1599,                0.89636,                 1.3156,                0.63259,                  0.517,                0.59163,                 0.2415,                 2.0607,                 1.9114,                 1.9557,              0.0007556,              0.0007556,              0.0007556
                    121,                  1.154,                0.87578,                 1.2985,                0.40825,                 0.5219,                0.43597,                0.14759,                 2.1866,                 2.1541,                 2.0314,             0.00074994,             0.00074994,             0.00074994
                    122,                 1.2808,                 1.0157,                 1.3796,                0.38603,                0.45741,                0.37287,                0.14527,                  2.269,                 2.0544,                 2.0269,             0.00074428,             0.00074428,             0.00074428
                    123,                 1.2658,                0.98852,                 1.3599,                0.60753,                0.68139,                0.60475,                0.25048,                 2.0442,                 1.6318,                 1.8845,             0.00073862,             0.00073862,             0.00073862
